2021.2.19 15:16,Start,,,,,,,
2021.2.19 15:16,End,,,,,,,
,,,,,,,,
,,,,,,,,
Time (s),X,Y,Z,|V|,MAx,MAy,MAz,MAv
2.838,3.009604,0.498009,4.254626,5.235224,3.529,-0.507,4.435,5.734
2.849,2.049499,1.398257,3.981679,4.691411,3.086,0.185,4.317,5.401
2.858,0.747014,2.57624,3.969708,4.790994,2.34,1.051,4.174,5.113
2.869,-0.737437,4.082239,4.163644,5.87745,1.267,2.139,4.092,5.149
2.878,-2.423006,5.784568,4.453351,7.691848,-0.091,3.46,4.142,5.763
2.889,-4.393494,7.735902,4.843618,10.129541,-1.702,5.045,4.358,7.122
2.898,-6.273,9.737515,5.245856,12.715689,-3.457,6.835,4.677,9.104
2.908,-7.944204,11.789409,5.863579,15.377974,-5.258,8.762,5.102,11.479
2.918,-9.438231,13.807783,6.720729,18.025075,-7.012,10.768,5.668,14.062
2.929,-10.846065,15.785454,8.059129,20.77901,-8.625,12.78,6.472,16.724
2.938,-12.301784,17.617075,9.802161,23.617315,-10.133,14.75,7.611,19.45
2.948,-13.96341,19.240393,11.90194,26.586195,-11.637,16.613,9.121,22.252
2.958,-15.622643,20.461473,13.731166,29.176768,-13.183,18.276,10.874,25.04
2.969,-16.874849,21.139051,14.720001,30.794455,-14.691,19.614,12.539,27.544
2.978,-17.375252,21.309046,14.77507,31.21342,-15.959,20.537,13.782,29.443
2.989,-17.080757,21.004972,14.128615,30.538154,-16.738,20.979,14.339,30.431
2.998,-16.305012,20.28669,13.0895,29.133112,-16.909,20.935,14.178,30.42
3.009,-14.997737,19.036879,11.746312,26.931592,-16.44,20.409,13.435,29.454
3.018,-13.393573,17.473417,10.5803,24.426438,-15.444,19.45,12.386,27.757
3.029,-11.497308,15.493352,9.91948,21.693966,-14.048,18.073,11.334,25.546
3.038,-9.287392,13.158935,9.924269,18.91836,-12.294,16.291,10.543,22.993
3.05,-6.838049,10.575512,10.46777,16.376036,-10.254,14.175,10.223,20.354
3.059,-4.42462,8.116591,10.740717,14.171073,-8.012,11.836,10.263,17.79
3.068,-2.24583,5.789357,9.797373,11.599522,-5.699,9.41,10.233,15.266
3.081,-0.332804,3.435784,8.016032,8.727666,-3.46,6.979,9.755,12.719
3.089,1.649655,1.000807,6.474119,6.755531,-1.338,4.586,8.757,10.313
3.098,3.778166,-1.345582,5.715134,6.981969,0.712,2.22,7.501,8.516
3.109,6.179623,-3.545921,5.99287,9.309983,2.819,-0.114,6.55,7.944
3.118,8.454185,-5.516409,6.888329,12.221009,5.015,-2.352,6.268,8.817
3.13,10.403124,-7.201979,8.126168,15.037556,7.204,-4.402,6.681,10.888
3.138,11.791803,-8.415876,8.7822,16.941093,9.207,-6.17,7.447,13.377
3.149,12.459806,-9.2419,8.403905,17.643274,10.777,-7.594,8.05,15.461
3.158,12.548394,-9.608225,7.407886,17.454425,11.801,-8.617,8.18,16.769
3.169,12.088694,-9.613013,6.167652,16.63089,12.222,-9.22,7.69,17.167
3.178,11.427874,-9.359221,5.150085,15.643359,12.131,-9.456,6.782,16.843
3.188,10.609032,-8.830086,4.484477,14.513184,11.668,-9.353,5.803,16.06
3.198,9.658504,-8.004061,4.271386,13.251281,10.946,-8.952,5.018,15.01
3.209,8.327288,-6.747066,4.40786,11.588609,10.006,-8.235,4.578,13.749
3.218,6.775798,-5.150085,4.630527,9.688994,8.843,-7.183,4.449,12.261
3.229,4.925023,-3.055095,4.826858,7.542414,7.422,-5.739,4.534,10.518
3.238,2.916227,-0.533923,4.91784,5.742352,5.736,-3.872,4.696,8.641
3.25,0.440547,2.607365,5.114171,5.757359,3.764,-1.533,4.872,7.183
3.258,-2.365544,6.023995,5.712739,8.63248,1.479,1.261,5.143,6.919
